ime,lema,postag
Ajdarpašić,Ajdarpašić,Np-sn
Ajdašek,Ajdašek,Np-sn
Ajder,Ajder,Np-sn
Ajdezi,Ajdezi,Np-sn
Ajdić,Ajdić,Np-sn
Ajdin,Ajdin,Np-sn
Ajdini,Ajdini,Np-sn
Ajdinović,Ajdinović,Np-sn
Ajdinovski,Ajdinovski,Np-sn
Ajdovac,Ajdovac,Np-sn
Ajdučić,Ajdučić,Np-sn
Ajduk,Ajduk,Np-sn
Ajduković,Ajduković,Np-sn
Ajelić,Ajelić,Np-sn
Ajeti,Ajeti,Np-sn
Ajh,Ajh,Np-sn
Ajhenberger,Ajhenberger,Np-sn
Ajhinberger,Ajhinberger,Np-sn
Ajhinger,Ajhinger,Np-sn
Ajhler,Ajhler,Np-sn
Ajhner,Ajhner,Np-sn
Ajhon,Ajhon,Np-sn
Ajhorn,Ajhorn,Np-sn
Aji,Aji,Np-sn
Ajjour,Ajjour,Np-sn
Ajkholt,Ajkholt,Np-sn
Ajkić,Ajkić,Np-sn
Ajkler,Ajkler,Np-sn
Ajkunić,Ajkunić,Np-sn
Ajman,Ajman,Np-sn
Ajnuler,Ajnuler,Np-sn
Ajredini,Ajredini,Np-sn
Ajroni,Ajroni,Np-sn
Ajrulai,Ajrulai,Np-sn
Ajruli,Ajruli,Np-sn
Ajrulov,Ajrulov,Np-sn
Ajster,Ajster,Np-sn
Ajšić,Ajšić,Np-sn
Ajtić,Ajtić,Np-sn
Ajtlbez,Ajtlbez,Np-sn
Ajutantov,Ajutantov,Np-sn
Ajvaz,Ajvaz,Np-sn
Ajvazi,Ajvazi,Np-sn
Ajvazoski,Ajvazoski,Np-sn
Ajvazovski,Ajvazovski,Np-sn
Ajzele,Ajzele,Np-sn
Ajzeli,Ajzeli,Np-sn
Ajzenhamer,Ajzenhamer,Np-sn
Ajzerle,Ajzerle,Np-sn
Akalović,Akalović,Np-sn
Akaratović,Akaratović,Np-sn
Akelić,Akelić,Np-sn
Akeljić,Akeljić,Np-sn
Akerman,Akerman,Np-sn
Akiet,Akiet,Np-sn
Akik,Akik,Np-sn
Akiki,Akiki,Np-sn
Akilić,Akilić,Np-sn
Akinyemi,Akinyemi,Np-sn
Akkad,Akkad,Np-sn
Akkch,Akkch,Np-sn
Akl,Akl,Np-sn
Aklić,Aklić,Np-sn
Akmačić,Akmačić,Np-sn
Akmadjić,Akmadjić,Np-sn
Akmadža,Akmadža,Np-sn
Akmadžić,Akmadžić,Np-sn
Akmađić,Akmađić,Np-sn
Akrap,Akrap,Np-sn
Akrapović,Akrapović,Np-sn
Akrep,Akrep,Np-sn
Aksentić,Aksentić,Np-sn
Aksić,Aksić,Np-sn
Akst,Akst,Np-sn
Akšam,Akšam,Np-sn
Akšamija,Akšamija,Np-sn
Akšamović,Akšamović,Np-sn
Akšan,Akšan,Np-sn
Akšić,Akšić,Np-sn
Akulić,Akulić,Np-sn
Akvić,Akvić,Np-sn
Alabanda,Alabanda,Np-sn
Alaber,Alaber,Np-sn
Alaberović,Alaberović,Np-sn
Alaburić,Alaburić,Np-sn
Alač,Alač,Np-sn
Alać,Alać,Np-sn
Aladenić,Aladenić,Np-sn
Aladić,Aladić,Np-sn
Aladin,Aladin,Np-sn
Aladrović,Aladrović,Np-sn
Aladžić,Aladžić,Np-sn
Aladžuz,Aladžuz,Np-sn
Alafetić,Alafetić,Np-sn
Alaga,Alaga,Np-sn
Alagić,Alagić,Np-sn
Alagušić,Alagušić,Np-sn
Alaica,Alaica,Np-sn
Alajbeg,Alajbeg,Np-sn
Alajbegović,Alajbegović,Np-sn
Alajica,Alajica,Np-sn
Alajković,Alajković,Np-sn
Alaki,Alaki,Np-sn
Alamat,Alamat,Np-sn
Alambašić,Alambašić,Np-sn
Alandžak,Alandžak,Np-sn
Alaniz,Alaniz,Np-sn
Alanović,Alanović,Np-sn
Alapić,Alapić,Np-sn
Alapović,Alapović,Np-sn
Alar,Alar,Np-sn
Alasić,Alasić,Np-sn
Alasović,Alasović,Np-sn
Alaša,Alaša,Np-sn
Alat,Alat,Np-sn
Alatić,Alatić,Np-sn
Alatović,Alatović,Np-sn
Alaupović,Alaupović,Np-sn
Alavanić,Alavanić,Np-sn
Alavantić,Alavantić,Np-sn
Alavanja,Alavanja,Np-sn
Alavija,Alavija,Np-sn
Alavuk,Alavuk,Np-sn
Alavuković,Alavuković,Np-sn
Albahari,Albahari,Np-sn
Albaneze,Albaneze,Np-sn
Albanezi,Albanezi,Np-sn
Albaneže,Albaneže,Np-sn
Alberković,Alberković,Np-sn
Albert,Albert,Np-sn
Alberth,Alberth,Np-sn
Alberti,Alberti,Np-sn
Albertović,Albertović,Np-sn
Albes,Albes,Np-sn
Albet,Albet,Np-sn
Albijanić,Albijanić,Np-sn
Albin,Albin,Np-sn
Albini,Albini,Np-sn
Alborghetti,Alborghetti,Np-sn
Albot,Albot,Np-sn
Albouz,Albouz,Np-sn
Albrecht,Albrecht,Np-sn
Albreht,Albreht,Np-sn
Albus,Albus,Np-sn
Alčić,Alčić,Np-sn
Alćehajić,Alćehajić,Np-sn
Aldić,Aldić,Np-sn
Aldin,Aldin,Np-sn
Aldobašić,Aldobašić,Np-sn
Alduk,Alduk,Np-sn
Aldulaimi,Aldulaimi,Np-sn
Aldžić,Aldžić,Np-sn
Alebić,Alebić,Np-sn
Alečković,Alečković,Np-sn
Alegić,Alegić,Np-sn
Alegro,Alegro,Np-sn
Alekić,Alekić,Np-sn
Aleks,Aleks,Np-sn
Aleksa,Aleksa,Np-sn
Aleksander,Aleksander,Np-sn
Aleksandrić,Aleksandrić,Np-sn
Aleksandrov,Aleksandrov,Np-sn
Aleksandrova,Aleksandrova,Np-sn
Aleksandrović,Aleksandrović,Np-sn
Aleksi,Aleksi,Np-sn
Aleksić,Aleksić,Np-sn
Aleksijević,Aleksijević,Np-sn
Aleksin,Aleksin,Np-sn
Aleksov,Aleksov,Np-sn
Aleksovska,Aleksovska,Np-sn
Aleksovski,Aleksovski,Np-sn
Alemani,Alemani,Np-sn
Alempić,Alempić,Np-sn
Alempijević,Alempijević,Np-sn
Alendar,Alendar,Np-sn
Aler,Aler,Np-sn
Aleraj,Aleraj,Np-sn
Alerić,Alerić,Np-sn
Alesić,Alesić,Np-sn
Alesio,Alesio,Np-sn
Alessio,Alessio,Np-sn
Alešević,Alešević,Np-sn
Aleši,Aleši,Np-sn
Alešković,Alešković,Np-sn
Aleta,Aleta,Np-sn
Aletić,Aletić,Np-sn
Aleuš,Aleuš,Np-sn
Alfeldi,Alfeldi,Np-sn
Alfeo,Alfeo,Np-sn
Alfier,Alfier,Np-sn
Alfirev,Alfirev,Np-sn
Alfirević,Alfirević,Np-sn
Alfirov,Alfirov,Np-sn
Alfoldi,Alfoldi,Np-sn
Alfonzi,Alfonzi,Np-sn
Alfreider,Alfreider,Np-sn
Algeri,Algeri,Np-sn
Alhaj,Alhaj,Np-sn
Ali,Ali,Np-sn
Alibabić,Alibabić,Np-sn
Alibalić,Alibalić,Np-sn
Alibašić,Alibašić,Np-sn
Alibegić,Alibegić,Np-sn
Alibegović,Alibegović,Np-sn
Alich,Alich,Np-sn
Alič,Alič,Np-sn
Aličajić,Aličajić,Np-sn
Aličehajić,Aličehajić,Np-sn
Aličelebić,Aličelebić,Np-sn
Aličič,Aličič,Np-sn
Aličić,Aličić,Np-sn
Aličković,Aličković,Np-sn
Alić,Alić,Np-sn
Alićaić,Alićaić,Np-sn
Alićajić,Alićajić,Np-sn
Alićehajić,Alićehajić,Np-sn
Alidi,Alidi,Np-sn
Alidini,Alidini,Np-sn
Alievska,Alievska,Np-sn
Alievski,Alievski,Np-sn
Alih,Alih,Np-sn
Alihodžić,Alihodžić,Np-sn
Alihović,Alihović,Np-sn
Alii,Alii,Np-sn
Alija,Alija,Np-sn
Alijagić,Alijagić,Np-sn
Alijaj,Alijaj,Np-sn
Alijanović,Alijanović,Np-sn
Alijašević,Alijašević,Np-sn
Alijev,Alijev,Np-sn
Aliji,Aliji,Np-sn
Alijoski,Alijoski,Np-sn
Alikadić,Alikadić,Np-sn
Alikalfić,Alikalfić,Np-sn
Alikavazović,Alikavazović,Np-sn
Alikić,Alikić,Np-sn
Alil,Alil,Np-sn
Alili,Alili,Np-sn
Alilović,Alilović,Np-sn
Alimaj,Alimaj,Np-sn
Alimani,Alimani,Np-sn
Alimanović,Alimanović,Np-sn
Alimaskoski,Alimaskoski,Np-sn
Alimehaj,Alimehaj,Np-sn
Alimi,Alimi,Np-sn
Alimić,Alimić,Np-sn
Alimoski,Alimoski,Np-sn
Alimović,Alimović,Np-sn
Alinčić,Alinčić,Np-sn
Alinjak,Alinjak,Np-sn
Aliov,Aliov,Np-sn
Alispahić,Alispahić,Np-sn
Ališa,Ališa,Np-sn
Ališahović,Ališahović,Np-sn
Ališan,Ališan,Np-sn
Ališić,Ališić,Np-sn
Ališković,Ališković,Np-sn
Aliti,Aliti,Np-sn
Alitović,Alitović,Np-sn
Aliu,Aliu,Np-sn
Alivojvodić,Alivojvodić,Np-sn
Alivuk,Alivuk,Np-sn
Aliy,Aliy,Np-sn
Alkadić,Alkadić,Np-sn
Alkalaj,Alkalaj,Np-sn
Alkaz,Alkaz,Np-sn
Alkhamis,Alkhamis,Np-sn
Alkić,Alkić,Np-sn
Alkier,Alkier,Np-sn
Alković,Alković,Np-sn
Allaei,Allaei,Np-sn
Allakaj,Allakaj,Np-sn
Allegretti,Allegretti,Np-sn
Allena,Allena,Np-sn
Aller,Aller,Np-sn
Alli,Alli,Np-sn
Allouch,Allouch,Np-sn
Almajan,Almajan,Np-sn
Almasi,Almasi,Np-sn
Almaš,Almaš,Np-sn
Almaši,Almaši,Np-sn
Almašta,Almašta,Np-sn
Almer,Almer,Np-sn
Almesberger,Almesberger,Np-sn
Almić,Almić,Np-sn
Alobić,Alobić,Np-sn
Aloisio,Aloisio,Np-sn
Alomerović,Alomerović,Np-sn
Alošinac,Alošinac,Np-sn
Alovanić,Alovanić,Np-sn
Alović,Alović,Np-sn
Alpeza,Alpeza,Np-sn
Alrofei,Alrofei,Np-sn
Alšić,Alšić,Np-sn
Alt,Alt,Np-sn
Altabas,Altabas,Np-sn
Altarac,Altarac,Np-sn
Altavilla,Altavilla,Np-sn
Alter,Alter,Np-sn
Altgajer,Altgajer,Np-sn
Althaller,Althaller,Np-sn
Altić,Altić,Np-sn
Altin,Altin,Np-sn
Altman,Altman,Np-sn
Altmann,Altmann,Np-sn
Altr,Altr,Np-sn
Altunin,Altunin,Np-sn
Altus,Altus,Np-sn
Aluga,Aluga,Np-sn
Alujević,Alujević,Np-sn
Alukić,Alukić,Np-sn
Alunić,Alunić,Np-sn
Alunović,Alunović,Np-sn
Alvadj,Alvadj,Np-sn
Alvadžić,Alvadžić,Np-sn
Alvađ,Alvađ,Np-sn
Alvir,Alvir,Np-sn
Alviz,Alviz,Np-sn
Alviž,Alviž,Np-sn
Aljević,Aljević,Np-sn
Alji,Alji,Np-sn
Aljić,Aljić,Np-sn
Aljidi,Aljidi,Np-sn
Aljija,Aljija,Np-sn
Aljijekim,Aljijekim,Np-sn
Aljinovič,Aljinovič,Np-sn
Aljinović,Aljinović,Np-sn
Aljiu,Aljiu,Np-sn
Aljković,Aljković,Np-sn
Aljović,Aljović,Np-sn
Aljukić,Aljukić,Np-sn
Amadeo,Amadeo,Np-sn
Amadori,Amadori,Np-sn
Aman,Aman,Np-sn
Amančić,Amančić,Np-sn
Amanović,Amanović,Np-sn
Ambaroski,Ambaroski,Np-sn
Ambreković,Ambreković,Np-sn
Ambrenac,Ambrenac,Np-sn
Ambreuš,Ambreuš,Np-sn
Ambrić,Ambrić,Np-sn
Ambrinac,Ambrinac,Np-sn
Ambriović,Ambriović,Np-sn
Ambrosi,Ambrosi,Np-sn
Ambroš,Ambroš,Np-sn
Ambrošić,Ambrošić,Np-sn
Ambrozi,Ambrozi,Np-sn
Ambrozich,Ambrozich,Np-sn
Ambrozić,Ambrozić,Np-sn
Ambrož,Ambrož,Np-sn
