"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o nacinu ostvarivanja prava na prilagodeni osobni automobil i prava na naknadu troška prilagodbe osobnog automobila za hrvatske ratne vojne invalide iz Domovinskog rata";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6663";"/ECon/MainScreen?entityId=6663";"6663"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o radu Povjerenstva za reviziju ocjene radne sposobnosti";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6665";"/ECon/MainScreen?entityId=6665";"6665"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o nacinu isplate novcanih primanja i drugih troškova";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6667";"/ECon/MainScreen?entityId=6667";"6667"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o vodenju evidencija, kontroli obracuna i isplata ostvarenih prava te uvjeta za ostvarivanje prava";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6669";"/ECon/MainScreen?entityId=6669";"6669"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o izboru i nacinu ostvarivanja prava osoba koje pružaju njegu i pomoc HRVI iu Domovinskog rata 100% I. skupine";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6671";"/ECon/MainScreen?entityId=6671";"6671"
"Ministarstvo unutarnjih poslova";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o besplatnoj pravnoj pomoci u postupku povratka";"/ECon/EconReport?entityId=6649";"19.12.2017.";"29.12.2017.";"02.01.2018.";"Izvješca objavljena";"/Documents/List/6649";"/ECon/MainScreen?entityId=6649";"6649"
"Ministarstvo zdravstva";"Savjetovanje o Nacrtu Provedbenog programa obveznog cijepljenja u Republici Hrvatskoj u 2018. godini protiv difterije, tetanusa,  hripavca, djecje paralize, ospica, zaušnjaka, rubele, tuberkuloze, hepatitisa B i bolesti izazvanih s haemophilus infl. tipa B";NA;"19.12.2017.";"18.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6653";"/ECon/MainScreen?entityId=6653";"6653"
"Ministarstvo zdravstva";"Savjetovanje o Nacrtu Provedbenog programa imunizacije, seroprofilakse i kemoprofilakse za posebne skupine stanovništva  i pojedince pod povecanim rizikom od: tuberkuloze, hepatitisa A i B, bjesnoce, žute groznice, kolere, trbušnog tifusa, tetanusa, malarije, streptokokne bolesti, haemophilus influenzae - invazivne bolesti, meningokokne bolesti i HPV infekcije u 2018. godini";NA;"19.12.2017.";"18.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6656";"/ECon/MainScreen?entityId=6656";"6656"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o uvjetima, kriterijima i nacinu dodjele potpore u okviru mjere „Ribarske luke, iskrcajna mjesta, burze riba i zakloništa“";NA;"18.12.2017.";"24.12.2017.";"10.01.2018.";"Zatvoren";"/Documents/List/6636";"/ECon/MainScreen?entityId=6636";"6636"
"Ministarstvo financija";"Nacrt pravilnika o nacinu provedbe ovrhe na novcanim sredstvima banke";NA;"18.12.2017.";"16.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6647";"/ECon/MainScreen?entityId=6647";"6647"
