clanak_id,savjetovanje_id
327377,10358
327378,10358
327379,10358
327380,10358
327381,10358
327382,10358
327383,10358
327384,10358
327385,10358
327386,10358
327387,10358
327388,10358
327389,10358
327390,10358
327391,10358
327392,10358
327393,10358
327394,10358
327395,10358
327396,10358
327164,10350
327165,10350
327166,10350
327167,10350
327168,10350
327058,10341
327074,10341
327075,10341
327076,10341
327059,10341
327077,10341
327078,10341
327079,10341
327080,10341
327081,10341
327082,10341
327083,10341
327084,10341
327085,10341
327086,10341
327060,10341
327087,10341
327088,10341
327089,10341
327090,10341
327091,10341
327092,10341
327093,10341
327094,10341
327095,10341
327096,10341
327061,10341
327062,10341
327063,10341
327097,10341
327064,10341
327098,10341
327065,10341
327099,10341
327066,10341
327100,10341
327067,10341
327068,10341
327101,10341
327069,10341
327070,10341
327071,10341
327102,10341
327072,10341
327073,10341
327103,10341
327104,10344
327105,10344
327106,10344
327107,10344
327108,10344
327109,10344
327110,10344
327111,10344
327112,10344
327113,10344
327114,10344
327115,10344
327116,10344
327117,10348
327118,10348
327119,10348
327120,10348
327121,10348
327122,10348
327123,10348
327124,10348
327125,10348
327126,10348
327127,10348
327128,10348
327129,10348
327130,10348
327131,10348
327132,10348
327133,10348
327134,10348
327135,10348
327136,10348
325572,10310
325573,10310
325579,10310
325580,10310
325581,10310
325582,10310
325574,10310
325583,10310
325584,10310
325585,10310
325586,10310
325587,10310
325588,10310
325589,10310
325590,10310
325591,10310
325592,10310
325593,10310
325594,10310
325595,10310
325596,10310
325597,10310
325598,10310
325599,10310
325600,10310
325601,10310
325602,10310
325603,10310
325575,10310
325604,10310
325605,10310
325606,10310
325607,10310
325608,10310
325609,10310
325610,10310
325611,10310
325612,10310
325613,10310
325614,10310
325615,10310
325616,10310
325617,10310
325618,10310
325619,10310
325620,10310
325621,10310
325622,10310
325623,10310
325624,10310
325576,10310
325625,10310
325626,10310
325627,10310
325628,10310
325629,10310
325630,10310
325631,10310
325632,10310
325633,10310
325634,10310
325635,10310
325636,10310
325637,10310
325638,10310
325639,10310
325640,10310
325641,10310
325642,10310
325643,10310
325644,10310
325645,10310
325646,10310
325647,10310
325648,10310
325649,10310
325650,10310
325651,10310
325652,10310
325653,10310
325654,10310
325577,10310
325655,10310
325578,10310
325656,10310
325657,10310
325658,10310
325659,10310
325660,10310
325661,10310
325662,10310
325663,10310
326102,10318
326107,10318
326103,10318
326108,10318
326109,10318
326110,10318
326111,10318
326104,10318
326112,10318
326113,10318
326114,10318
326115,10318
326116,10318
326117,10318
326118,10318
326119,10318
326120,10318
326121,10318
326122,10318
326123,10318
326105,10318
326124,10318
326125,10318
326126,10318
326127,10318
326128,10318
326129,10318
326130,10318
326131,10318
326132,10318
326133,10318
326134,10318
326135,10318
326106,10318
326136,10318
326137,10318
326138,10318
326139,10318
326140,10318
326141,10318
326142,10318
326143,10318
326144,10318
326145,10318
325759,10319
325760,10319
325761,10319
325762,10319
325763,10319
325764,10319
325765,10319
326190,10320
326191,10320
326192,10320
326193,10320
326194,10320
326195,10320
326196,10320
326197,10320
326156,10323
326157,10323
326152,10328
326153,10328
326154,10328
326155,10328
326608,10329
326609,10329
326610,10329
326659,10329
326660,10329
326661,10329
326662,10329
326663,10329
326664,10329
326665,10329
326666,10329
326667,10329
326668,10329
326669,10329
326670,10329
326671,10329
326672,10329
326673,10329
326674,10329
