Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o ažuriranom Prijedlogu plana zakonodavnih aktivnosti Ministarstva zaštite okoliša i energetike za 2018. godinu i prethodnim procjenama,NA,01.12.2017.,16.12.2017.,27.12.2017.,Zatvoren,/Documents/List/6461,/ECon/MainScreen?entityId=6461,6461
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o ažuriranom Prijedlogu Plana zakonodavnih aktivnosti Ministarstva mora, prometa i infrastrukture za 2018. godinu i Obrascu prethodne procjene učinaka propisa na Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o cestama",/ECon/EconReport?entityId=6463,01.12.2017.,18.12.2017.,29.12.2017.,Izvješća objavljena,/Documents/List/6463,/ECon/MainScreen?entityId=6463,6463
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o Državnoodvjetničkom vijeću,/ECon/EconReport?entityId=6467,01.12.2017.,30.12.2017.,05.01.2018.,Izvješća objavljena,/Documents/List/6467,/ECon/MainScreen?entityId=6467,6467
Ministarstvo graditeljstva i prostornoga uređenja,Nacrt Prijedloga Zakona o izmjenama i dopunama Zakona o društveno poticanoj stanogradnji,/ECon/EconReport?entityId=6476,01.12.2017.,31.12.2017.,01.05.2018.,Izvješća objavljena,/Documents/List/6476,/ECon/MainScreen?entityId=6476,6476
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o športskom i rekreacijskom ribolovu na moru,/ECon/EconReport?entityId=6479,01.12.2017.,03.12.2017.,11.12.2017.,Izvješća objavljena,/Documents/List/6479,/ECon/MainScreen?entityId=6479,6479
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku",NACRT PRAVILNIKA O IZMJENAMA PRAVILNIKA O OBITELJSKOJ MEDIJACIJI,/ECon/EconReport?entityId=6482,01.12.2017.,16.12.2017.,12.01.2018.,Izvješća objavljena,/Documents/List/6482,/ECon/MainScreen?entityId=6482,6482
Državni zavod za intelektualno vlasništvo,Savjetovanje o Obrascu prethodne procjene učinaka propisa za Nacrt prijedloga Zakona o žigu,/ECon/EconReport?entityId=6485,01.12.2017.,16.12.2017.,20.12.2017.,Izvješća objavljena,/Documents/List/6485,/ECon/MainScreen?entityId=6485,6485
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o državnom odvjetništvu,/ECon/EconReport?entityId=6489,01.12.2017.,30.12.2017.,05.01.2018.,Izvješća objavljena,/Documents/List/6489,/ECon/MainScreen?entityId=6489,6489
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Obrascu Iskaza o procjeni učinaka propisa za Nacrt prijedloga Zakona o prijevozu u cestovnom prometu i Nacrtu prijedloga Zakona o prijevozu u cestovnom prometu,/ECon/EconReport?entityId=6492,01.12.2017.,31.12.2017.,30.01.2018.,Izvješća objavljena,/Documents/List/6492,/ECon/MainScreen?entityId=6492,6492
Ministarstvo pravosuđa,Savjetovanje o nacrtu Zakona o probaciji,/ECon/EconReport?entityId=6495,01.12.2017.,31.12.2017.,22.01.2018.,Izvješća objavljena,/Documents/List/6495,/ECon/MainScreen?entityId=6495,6495
