Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za nastavni predmet Engleski jezik za srednje strukovne škole na razini 4.2. u Republici Hrvatskoj,NA,12.12.2018.,11.01.2019.,28.02.2019.,Zatvoren,/Documents/List/9836,/ECon/MainScreen?entityId=9836,9836
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za nastavni predmet Hrvatski jezik za srednje strukovne škole na razini 4.2. u Republici Hrvatskoj,NA,12.12.2018.,11.01.2019.,28.02.2019.,Zatvoren,/Documents/List/9839,/ECon/MainScreen?entityId=9839,9839
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za nastavni predmet Njemački jezik za srednje strukovne škole na razini 4.2. u Republici Hrvatskoj,NA,12.12.2018.,11.01.2019.,28.02.2019.,Zatvoren,/Documents/List/9845,/ECon/MainScreen?entityId=9845,9845
Ministarstvo poljoprivrede,Pravilnik o uvjetima i postupku za stjecanje prava na korištenje kopnenih voda radi obavljanja djelatnosti akvakulture,NA,12.12.2018.,27.12.2018.,15.01.2019.,Čeka odobravanje izvještaja,/Documents/List/9848,/ECon/MainScreen?entityId=9848,9848
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Nacrt prijedloga uredbe o zakupu šumskog zemljišta,/ECon/EconReport?entityId=9850,12.12.2018.,15.01.2019.,31.01.2019.,Izvješća objavljena,/Documents/List/9850,/ECon/MainScreen?entityId=9850,9850
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o djelomičnoj jednokratnoj isplati korisniku starosne i prijevremene starosne osnovne mirovine,/ECon/EconReport?entityId=9852,12.12.2018.,10.01.2019.,29.01.2019.,Izvješća objavljena,/Documents/List/9852,/ECon/MainScreen?entityId=9852,9852
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog Pravilnika o potvrdi o podrijetlu divljači i njezinih dijelova i načinu označavanja divljači,/ECon/EconReport?entityId=9855,12.12.2018.,28.12.2018.,28.01.2019.,Izvješća objavljena,/Documents/List/9855,/ECon/MainScreen?entityId=9855,9855
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o Upisniku privatnih šumoposjednika,/ECon/EconReport?entityId=9857,12.12.2018.,14.01.2019.,31.01.2019.,Izvješća objavljena,/Documents/List/9857,/ECon/MainScreen?entityId=9857,9857
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog Pravilnika o lovočuvarskoj službi,/ECon/EconReport?entityId=9858,12.12.2018.,13.01.2019.,13.02.2019.,Izvješća objavljena,/Documents/List/9858,/ECon/MainScreen?entityId=9858,9858
Ministarstvo zdravstva,"Savjetovanje o Nacrtu Popisa droga, psihotropnih tvari i biljaka iz kojih se može dobiti droga te tvari koje se mogu uporabiti za izradu droga",/ECon/EconReport?entityId=9828,11.12.2018.,10.01.2019.,11.02.2019.,Izvješća objavljena,/Documents/List/9828,/ECon/MainScreen?entityId=9828,9828
Ministarstvo zaštite okoliša i energetike,Nacrt prijedloga Uredbe o udjelu u neto isporučenoj električnoj energiji povlaštenih proizvođača kojeg su opskrbljivači električne energije dužni preuzeti od operatora tržišta električne energije,/ECon/EconReport?entityId=9778,10.12.2018.,19.12.2018.,30.12.2018.,Izvješća objavljena,/Documents/List/9778,/ECon/MainScreen?entityId=9778,9778
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga zakona o izmjenama i dopunama Zakona o parničnom postupku,/ECon/EconReport?entityId=9786,10.12.2018.,09.01.2019.,23.01.2019.,Izvješća objavljena,/Documents/List/9786,/ECon/MainScreen?entityId=9786,9786
Ministarstvo financija,Savjetovanje sa zainteresiranom javnošću o Pravilniku o ostvarivanju prava na povrat dijela plaćene trošarine za dizelsko gorivo u komercijalnom prijevozu robe i putnika,/ECon/EconReport?entityId=9791,10.12.2018.,08.01.2019.,15.01.2019.,Izvješća objavljena,/Documents/List/9791,/ECon/MainScreen?entityId=9791,9791
Ministarstvo financija,Savjetovanje sa zainteresiranom javnošću o Pravilnik o uvjetima i načinu oslobođenja od plaćanja trošarine na energente koji se koriste kao pogonsko gorivo za plovidbu,/ECon/EconReport?entityId=9795,10.12.2018.,25.12.2018.,07.01.2019.,Izvješća objavljena,/Documents/List/9795,/ECon/MainScreen?entityId=9795,9795
Ministarstvo financija,Savjetovanje sa zaintersiranom javnošću o Pravilniku o uvjetima i načinu povrata plaćene trošarine na dizelsko gorivo za pogon strojeva za pripremu površina u razminiranju,/ECon/EconReport?entityId=9805,10.12.2018.,25.12.2018.,07.01.2019.,Izvješća objavljena,/Documents/List/9805,/ECon/MainScreen?entityId=9805,9805
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Nacrt prijedloga uredbe o financijskoj strukturi omotnica za financiranje programa izravnih plaćanja u 2018. godini,/ECon/EconReport?entityId=9812,10.12.2018.,27.12.2018.,31.12.2018.,Izvješća objavljena,/Documents/List/9812,/ECon/MainScreen?entityId=9812,9812
Ministarstvo financija,"Savjetovanje sa zainteresiranom javnošću o Pravilniku o primjeni Zakona o trošarinama što se odnosi na plavi dizel za namjene u poljoprivredi, ribolovu, akvakulturi te na povrat plaćene trošarine na bezolovni motorni benzin za namjene u ribolovu",/ECon/EconReport?entityId=9815,10.12.2018.,25.12.2018.,07.01.2019.,Izvješća objavljena,/Documents/List/9815,/ECon/MainScreen?entityId=9815,9815
Ministarstvo zaštite okoliša i energetike,Nacrt prijedloga Uredbe o poticanju proizvodnje električne energije iz obnovljivih izvora energije i visokoučinkovitih kogeneracija,/ECon/EconReport?entityId=9767,10.12.2018.,19.12.2018.,30.12.2018.,Izvješća objavljena,/Documents/List/9767,/ECon/MainScreen?entityId=9767,9767
Ministarstvo financija,Pravilnik o izmjenama i dopunama Pravilnika o automatskoj razmjeni informacija u području poreza,/ECon/EconReport?entityId=9769,07.12.2018.,22.12.2018.,28.01.2019.,Izvješća objavljena,/Documents/List/9769,/ECon/MainScreen?entityId=9769,9769
Ministarstvo financija,Savjetovanje o Nacrtu prijedloga pravilnika o izmjenama i dopunama Pravilnika o porezu na dobit,NA,07.12.2018.,22.12.2018.,28.01.2019.,Zatvoren,/Documents/List/9773,/ECon/MainScreen?entityId=9773,9773
Ministarstvo financija,Nacrt pravilnika o izmjenama i dopunama Pravilnika o porezu na dodanu vrijednost,NA,07.12.2018.,22.12.2018.,28.01.2019.,Zatvoren,/Documents/List/9776,/ECon/MainScreen?entityId=9776,9776
Ministarstvo financija,Pravilnik o paušalnom oporezivanju djelatnosti iznajmljivanja i organiziranja smještaja u turizmu,NA,07.12.2018.,22.12.2018.,28.01.2019.,Zatvoren,/Documents/List/9777,/ECon/MainScreen?entityId=9777,9777
Ministarstvo poljoprivrede,Savjetovanje o Nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o veterinarsko-medicinskim proizvodima,/ECon/EconReport?entityId=9743,07.12.2018.,06.01.2019.,11.01.2019.,Izvješća objavljena,/Documents/List/9743,/ECon/MainScreen?entityId=9743,9743
Državni zavod za mjeriteljstvo,Savjetovanje o prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o utvrđivanju sukladnosti motornih vozila i njihovih prikolica,/ECon/EconReport?entityId=9745,07.12.2018.,22.12.2018.,04.01.2019.,Izvješća objavljena,/Documents/List/9745,/ECon/MainScreen?entityId=9745,9745
Državni zavod za mjeriteljstvo,Savjetovanje o prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o utvrđivanju sukladnosti traktora za poljoprivredu i šumarstvo,/ECon/EconReport?entityId=9747,07.12.2018.,22.12.2018.,04.01.2019.,Izvješća objavljena,/Documents/List/9747,/ECon/MainScreen?entityId=9747,9747
Državni zavod za mjeriteljstvo,Savjetovanje o prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o utvrđivanju sukladnosti vozila na dva ili tri kotača i četverocikala,/ECon/EconReport?entityId=9749,07.12.2018.,22.12.2018.,04.01.2019.,Izvješća objavljena,/Documents/List/9749,/ECon/MainScreen?entityId=9749,9749
Ministarstvo pravosuđa,Savjetovanje o prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o radu u sustavu eSpis,/ECon/EconReport?entityId=9751,07.12.2018.,22.12.2018.,29.12.2018.,Izvješća objavljena,/Documents/List/9751,/ECon/MainScreen?entityId=9751,9751
Ministarstvo pravosuđa,Savjetovanje o prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o radu u sustavu JCMS,/ECon/EconReport?entityId=9755,07.12.2018.,22.12.2018.,29.12.2018.,Izvješća objavljena,/Documents/List/9755,/ECon/MainScreen?entityId=9755,9755
Ministarstvo pravosuđa,Savjetovanje o prijedlogu Izmjena i dopuna Sudskog poslovnika,/ECon/EconReport?entityId=9758,07.12.2018.,22.12.2018.,29.12.2018.,Izvješća objavljena,/Documents/List/9758,/ECon/MainScreen?entityId=9758,9758
Ministarstvo financija,Nacrt prijedloga Uredbe o kriterijima za utvrđivanje korisnika i načinu raspodjeledijela prihoda od igara na sreću za 2019. godinu,/ECon/EconReport?entityId=9761,07.12.2018.,14.12.2018.,28.12.2018.,Izvješća objavljena,/Documents/List/9761,/ECon/MainScreen?entityId=9761,9761
Ministarstvo graditeljstva i prostornoga uređenja,Tehnički propis za asfaltne kolnike,NA,07.12.2018.,05.01.2019.,01.04.2019.,Zatvoren,/Documents/List/9763,/ECon/MainScreen?entityId=9763,9763
Ministarstvo financija,Pravilnik o izmjenama i dopunama Pravilnika o porezu na dohodak,NA,07.12.2018.,22.12.2018.,28.01.2019.,Zatvoren,/Documents/List/9782,/ECon/MainScreen?entityId=9782,9782
Ministarstvo financija,Pravilnik o izmjenama i dopunama Pravilnika o doprinosima,NA,07.12.2018.,22.12.2018.,28.01.2019.,Zatvoren,/Documents/List/9785,/ECon/MainScreen?entityId=9785,9785
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o nacrtu Uputa za prijavitelje Poziva na dostavu projektnih prijedloga 'Inovacije u S3 područjima”,/ECon/EconReport?entityId=9715,07.12.2018.,31.12.2018.,08.01.2019.,Izvješća objavljena,/Documents/List/9715,/ECon/MainScreen?entityId=9715,9715
Ministarstvo financija,Nacrt prijedloga Plana zakonodavnih aktivnosti Ministarstva financija za 2019. godinu,/ECon/EconReport?entityId=9741,06.12.2018.,21.12.2018.,21.01.2019.,Izvješća objavljena,/Documents/List/9741,/ECon/MainScreen?entityId=9741,9741
Ministarstvo poljoprivrede,"OBRAZAC PRETHODNE PROCJENE-ZAKON O SLUŽBENIM KONTROLAMA KOJE SE PROVODE SUKLADNO PROPISIMA O HRANI, HRANI ZA ŽIVOTINJE, O ZDRAVLJU I DOBROBITI ŽIVOTINJA, ZDRAVLJU BILJA I SREDSTVIMA ZA ZAŠTITU BILJA",/ECon/EconReport?entityId=9734,05.12.2018.,20.12.2018.,28.12.2018.,Izvješća objavljena,/Documents/List/9734,/ECon/MainScreen?entityId=9734,9734
Ministarstvo zaštite okoliša i energetike,Obrazac prethodne procjene za Zakon o izmjenama i dopunama Zakona o tržištu nafte i naftnih derivata,NA,05.12.2018.,19.12.2018.,31.12.2018.,Zatvoren,/Documents/List/9737,/ECon/MainScreen?entityId=9737,9737
Ministarstvo poljoprivrede,Savjetovanje obrasca prethodne procijene za Zakon o izmjenama i dopunama Zakona o veterinarstvu,/ECon/EconReport?entityId=9739,05.12.2018.,20.12.2018.,27.12.2018.,Izvješća objavljena,/Documents/List/9739,/ECon/MainScreen?entityId=9739,9739
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O OBRASCU PRETHODNE PROCJENE ZAKON O IZMJENAMA I DOPUNAMA ZAKONA O SREDIŠNJEM REGISTRU OSIGURANIKA,/ECon/EconReport?entityId=9723,04.12.2018.,19.12.2018.,24.12.2018.,Izvješća objavljena,/Documents/List/9723,/ECon/MainScreen?entityId=9723,9723
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O OBRASCU PRETHODNE PROCJENE NACRTA PRIJEDLOGA ZAKONA O PLAĆAMA DRŽAVNIH SLUŽBENIKA I NAMJEŠTENIKA,/ECon/EconReport?entityId=9725,04.12.2018.,19.12.2018.,24.12.2018.,Izvješća objavljena,/Documents/List/9725,/ECon/MainScreen?entityId=9725,9725
Ministarstvo pravosuđa,Savjetovanje o obrascu prethodne procjene za Zakon o izmjenama i dopunama Zakona o Uredu za suzbijanje korupcije i organiziranog kriminaliteta,/ECon/EconReport?entityId=9727,04.12.2018.,19.12.2018.,02.01.2019.,Izvješća objavljena,/Documents/List/9727,/ECon/MainScreen?entityId=9727,9727
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o nacrtu uputa za prijavitelje na Javni natječaj za dodjelu financijske podrške projektima Udruga koje djeluju u području zaštite prava potrošača u 2019. godini,/ECon/EconReport?entityId=9730,04.12.2018.,18.12.2018.,19.12.2018.,Izvješća objavljena,/Documents/List/9730,/ECon/MainScreen?entityId=9730,9730
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o Prijedlogu Strategije digitalnog sazrijevanja škola i školskog sustava,NA,03.12.2018.,02.01.2019.,04.02.2019.,Zatvoren,/Documents/List/9717,/ECon/MainScreen?entityId=9717,9717
Ministarstvo financija,Nacrt Prijedloga Odluke o iznosu državnih poticajnih sredstava za stambenu štednju prikupljenu u 2019. godini,NA,03.12.2018.,14.12.2018.,14.01.2019.,Čeka odobravanje izvještaja,/Documents/List/9721,/ECon/MainScreen?entityId=9721,9721
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o ribolovnim mogućnostima u gospodarskom ribolovu na moru okružujućom mrežom plivaricom – srdelarom,NA,03.12.2018.,11.12.2018.,25.12.2018.,Čeka odobravanje izvještaja,/Documents/List/9712,/ECon/MainScreen?entityId=9712,9712
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o zemljišnim knjigama,/ECon/EconReport?entityId=9639,30.11.2018.,30.12.2018.,21.01.2019.,Izvješća objavljena,/Documents/List/9639,/ECon/MainScreen?entityId=9639,9639
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o nacrtu prijedloga Pravilnka o izmjenama i dopunama Pravilnika o praćenju stanja radioaktivnosti u okolišu,/ECon/EconReport?entityId=9641,30.11.2018.,15.12.2018.,20.12.2018.,Izvješća objavljena,/Documents/List/9641,/ECon/MainScreen?entityId=9641,9641
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o sudskom registru,/ECon/EconReport?entityId=9644,30.11.2018.,30.12.2018.,21.01.2019.,Izvješća objavljena,/Documents/List/9644,/ECon/MainScreen?entityId=9644,9644
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o trgovačkim društvima,/ECon/EconReport?entityId=9648,30.11.2018.,30.12.2018.,21.01.2019.,Izvješća objavljena,/Documents/List/9648,/ECon/MainScreen?entityId=9648,9648
Ministarstvo financija,Savjetovanje sa zainteresiranom javnošću o nacrtu Pravilnika o trošarinama,/ECon/EconReport?entityId=9650,30.11.2018.,30.12.2018.,14.01.2019.,Izvješća objavljena,/Documents/List/9650,/ECon/MainScreen?entityId=9650,9650
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o Obrascu prethodne procjene za Zakon o izmjenama i dopunama Zakona o predškolskom odgoju i obrazovanju,NA,30.11.2018.,15.12.2018.,31.01.2019.,Zatvoren,/Documents/List/9654,/ECon/MainScreen?entityId=9654,9654
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o obrascu prethodne procjene za nacrt prijedloga Zakona o izmjenama i dopunama Zakona o sprječavanju unošenja i širenja stranih te invazivnih stranih vrsta i upravljanju njima,/ECon/EconReport?entityId=9609,30.11.2018.,14.12.2018.,19.12.2018.,Izvješća objavljena,/Documents/List/9609,/ECon/MainScreen?entityId=9609,9609
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o obrascu prethodne procjene za nacrt prijedloga Zakona o izmjenama i dopunama Zakona o prekograničnom prometu i trgovini divljim vrstama,/ECon/EconReport?entityId=9611,30.11.2018.,14.12.2018.,19.12.2018.,Izvješća objavljena,/Documents/List/9611,/ECon/MainScreen?entityId=9611,9611
Ministarstvo zaštite okoliša i energetike,Savjetovanje o financijskim instrumentima 'ESIF krediti za energetsku učinkovitost za poduzetnike',/ECon/EconReport?entityId=9632,29.11.2018.,15.12.2018.,01.01.2019.,Izvješća objavljena,/Documents/List/9632,/ECon/MainScreen?entityId=9632,9632
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Pravilnika o ispunjavanju uvjeta za obavljanje djelatnosti posredovanja u obavljanju studentskih poslova,/ECon/EconReport?entityId=9613,28.11.2018.,28.12.2018.,31.01.2019.,Izvješća objavljena,/Documents/List/9613,/ECon/MainScreen?entityId=9613,9613
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Pravilnika o obliku i sadržaju ugovora o obavljanju studentskih poslova,/ECon/EconReport?entityId=9616,28.11.2018.,28.12.2018.,31.01.2019.,Izvješća objavljena,/Documents/List/9616,/ECon/MainScreen?entityId=9616,9616
Ministarstvo zdravstva,Savjetovanje o Nacrtu Pravilnika o mjerilima za stavljanje medicinskih proizvoda na osnovnu i dodatnu listu medicinskih proizvoda Hrvatskog zavoda za zdravstveno osiguranje te mjerilima za određivanje cijena medicinskih proizvoda,/ECon/EconReport?entityId=9619,28.11.2018.,28.12.2018.,28.01.2019.,Izvješća objavljena,/Documents/List/9619,/ECon/MainScreen?entityId=9619,9619
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Obrazac prethodne procjene za Zakon o izmjenama Zakona o građevnim proizvodima,/ECon/EconReport?entityId=9622,28.11.2018.,12.12.2018.,01.02.2019.,Izvješća objavljena,/Documents/List/9622,/ECon/MainScreen?entityId=9622,9622
Ministarstvo pravosuđa,"Savjetovanje o Nacrtu prijedloga Zakona o izmjenama Zakona o plaćama sudaca i drugih pravosudnih dužnosnika, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=9623,28.11.2018.,28.12.2018.,18.01.2019.,Izvješća objavljena,/Documents/List/9623,/ECon/MainScreen?entityId=9623,9623
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Obrazac prethodne procjene za Zakon o izmjenama i dopunama Zakona o građevinskoj inspekciji,NA,28.11.2018.,12.12.2018.,01.02.2019.,Zatvoren,/Documents/List/9626,/ECon/MainScreen?entityId=9626,9626
Ministarstvo uprave,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga zakona o izboru vijeća i predstavnika nacionalnih manjina,/ECon/EconReport?entityId=9628,28.11.2018.,13.12.2018.,18.12.2018.,Izvješća objavljena,/Documents/List/9628,/ECon/MainScreen?entityId=9628,9628
Ministarstvo zaštite okoliša i energetike,Nacrt ključnih elemenata Poziva za izgradnje i opremanje postrojenja za  biološku obradu odvojeno prikupljenog biootpada,NA,27.11.2018.,11.12.2018.,31.01.2019.,Zatvoren,/Documents/List/9599,/ECon/MainScreen?entityId=9599,9599
Ministarstvo zaštite okoliša i energetike,"Nacrt poziva za Izgradnju i opremanje postrojenja za sortiranje odvojeno prikupljenog otpadnog papira, kartona, metala, plastike i dr",NA,27.11.2018.,11.12.2018.,31.12.2018.,Zatvoren,/Documents/List/9601,/ECon/MainScreen?entityId=9601,9601
Ministarstvo zaštite okoliša i energetike,"Ključni elementi poziva za Nabavku komunalnih vozila za odvojeno sakupljanje odvojeno sakupljanje otpadnog papira, kartona, metala, plastike, biootpada i dr.",NA,27.11.2018.,11.12.2018.,31.12.2018.,Zatvoren,/Documents/List/9603,/ECon/MainScreen?entityId=9603,9603
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o odobrenju za obavljanje djelatnosti akvakulture na obiteljskom poljoprivrednom gospodarstvu,/ECon/EconReport?entityId=9607,27.11.2018.,27.12.2018.,07.01.2019.,Izvješća objavljena,/Documents/List/9607,/ECon/MainScreen?entityId=9607,9607
Hrvatski zavod za javno zdravstvo,Statut Hrvatskog zavoda za javno zdravstvo,/ECon/EconReport?entityId=9593,26.11.2018.,26.12.2018.,31.12.2018.,Izvješća objavljena,/Documents/List/9593,/ECon/MainScreen?entityId=9593,9593
Središnji državni ured za šport,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga Pravilnika o Informacijskom sustavu u sportu,/ECon/EconReport?entityId=9596,26.11.2018.,27.12.2018.,25.01.2019.,Izvješća objavljena,/Documents/List/9596,/ECon/MainScreen?entityId=9596,9596
Ministarstvo poljoprivrede,"Prijedlog pravilnika o izmjenama i dopunama Pravilnika o provedbi mjere M04 'Ulaganja u fizičku imovinu', Podmjere 4.3. 'Potpora za ulaganje u infrastrukturu vezano uz razvoj, modernizaciju i prilagodbu poljoprivrede i šumarstva', tip operacije 4.3.1. 'Investicije u osnovnu infrastrukturu javnog navodnjavanja' iz Programa ruralnog razvoja Republike Hrvatske za razdoblje 2014. - 2020.",/ECon/EconReport?entityId=9584,23.11.2018.,30.11.2018.,03.12.2018.,Izvješća objavljena,/Documents/List/9584,/ECon/MainScreen?entityId=9584,9584
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o ažuriranom Prijedlogu Plana zakonodavnih aktivnosti Ministarstva mora, prometa i infrastrukture za 2019. godinu i Obrascu prethodne procjene za Nacrt prijedloga Zakona o pružanju informacija o multimodalnim putovanjima",/ECon/EconReport?entityId=9586,23.11.2018.,10.12.2018.,20.12.2018.,Izvješća objavljena,/Documents/List/9586,/ECon/MainScreen?entityId=9586,9586
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRIJEDLOGU ZAKONA O MINIMALNOJ PLAĆI S TEKSTOM KONAČNOG PRIJEDLOGA ZAKONA,/ECon/EconReport?entityId=9590,23.11.2018.,29.11.2018.,04.12.2018.,Izvješća objavljena,/Documents/List/9590,/ECon/MainScreen?entityId=9590,9590
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Građanski odgoj i obrazovanje za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9556,/ECon/MainScreen?entityId=9556,9556
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Uporaba informacijske i komunikacijske tehnologije za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9559,/ECon/MainScreen?entityId=9559,9559
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Održivi razvoj za strukovne i umjetničke srednje škole u Republici Hrvatskoj.,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9562,/ECon/MainScreen?entityId=9562,9562
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Poduzetništvo za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9565,/ECon/MainScreen?entityId=9565,9565
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Učiti kako učiti za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9568,/ECon/MainScreen?entityId=9568,9568
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Osobni i socijalni razvoj za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9571,/ECon/MainScreen?entityId=9571,9571
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za međupredmetnu temu Zdravlje za strukovne i umjetničke srednje škole u Republici Hrvatskoj,NA,22.11.2018.,22.12.2018.,11.02.2019.,Zatvoren,/Documents/List/9574,/ECon/MainScreen?entityId=9574,9574
Ministarstvo pravosuđa,Savjetovanje o prijedlogu Pravilnika o izmjeni Pravilnika o dodjeljivanju ostavinskih predmeta u rad javnim bilježnicima,/ECon/EconReport?entityId=9577,22.11.2018.,15.12.2018.,31.12.2018.,Izvješća objavljena,/Documents/List/9577,/ECon/MainScreen?entityId=9577,9577
Državni zavod za mjeriteljstvo,"Savjetovanje o prijedlogu Pravilnika o postupku ispitivanja plinomjera namijenjenih za uporabu u kućanstvu, trgovini i lakoj industriji",/ECon/EconReport?entityId=9551,21.11.2018.,21.12.2018.,04.01.2019.,Izvješća objavljena,/Documents/List/9551,/ECon/MainScreen?entityId=9551,9551
Državni zavod za mjeriteljstvo,"Savjetovanje o prijedlogu Pravilnika o postupku ispitivanja brojila električne energije namijenjenih za uporabu u kućanstvu, trgovini i lakoj industriji",/ECon/EconReport?entityId=9553,21.11.2018.,21.12.2018.,04.01.2019.,Izvješća objavljena,/Documents/List/9553,/ECon/MainScreen?entityId=9553,9553
Ministarstvo zdravstva,Savjetovanje o Nacrtu Pravilnika o načinu pružanja zdravstvene zaštite strancu koji nezakonito boravi u Republici Hrvatskoj,/ECon/EconReport?entityId=9536,20.11.2018.,05.12.2018.,07.01.2019.,Izvješća objavljena,/Documents/List/9536,/ECon/MainScreen?entityId=9536,9536
Ministarstvo rada i mirovinskoga sustava,"SAVJETOVANJE O NACRTU PRIJEDLOGA ZAKONA O TRŽIŠTU RADA, S KONAČNIM PRIJEDLOGOM ZAKONA",/ECon/EconReport?entityId=9547,20.11.2018.,04.12.2018.,06.12.2018.,Izvješća objavljena,/Documents/List/9547,/ECon/MainScreen?entityId=9547,9547
Ministarstvo rada i mirovinskoga sustava,"SAVJETOVANJE O NACRTU PRIJEDLOGA ZAKONA O PRESTANKU VAŽENJA ZAKONA O POTICANJU ZAPOŠLJAVANJA,  S KONAČNIM PRIJEDLOGOM ZAKONA",/ECon/EconReport?entityId=9549,20.11.2018.,04.12.2018.,06.12.2018.,Izvješća objavljena,/Documents/List/9549,/ECon/MainScreen?entityId=9549,9549
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Programu praćenja kvalitete tekućih naftnih goriva za 2019. godinu,NA,20.11.2018.,21.12.2018.,31.12.2018.,Čeka odobravanje izvještaja,/Documents/List/9494,/ECon/MainScreen?entityId=9494,9494
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Uredbi o objavi Izmjena i dopuna Dodataka A i C iz svibnja 2017. godine Stockholmske konvencije o postojanim organskim onečišćujućim tvarima,/ECon/EconReport?entityId=9496,20.11.2018.,21.12.2018.,24.12.2018.,Izvješća objavljena,/Documents/List/9496,/ECon/MainScreen?entityId=9496,9496
